,,,,,,,,
,start_id,start_label,relationship,end_id,end_label,,,
,P-001,Part,PART_OF,EQ-001,Equipment,,,
,P-002,Part,PART_OF,EQ-001,Equipment,,,
,P-003,Part,PART_OF,EQ-002,Equipment,,,
,P-004,Part,PART_OF,EQ-003,Equipment,,,
,P-005,Part,PART_OF,EQ-004,Equipment,,,
,,,,,,,,
,MT-001,MaintenanceTask,USES,P-001,Part,,,
,MT-002,MaintenanceTask,USES,P-002,Part,,,
,MT-003,MaintenanceTask,USES,P-003,Part,,,
,MT-005,MaintenanceTask,USES,P-005,Part,,,
,,,,,,,,
,W-001,Worker,PERFORMS_TASK,MT-001,MaintenanceTask,,,
,W-002,Worker,PERFORMS_TASK,MT-002,MaintenanceTask,,,
,W-003,Worker,PERFORMS_TASK,MT-003,MaintenanceTask,,,
,W-001,Worker,PERFORMS_TASK,MT-005,MaintenanceTask,,,
,,,,,,,,
,I-001,Issue,AFFECTS,EQ-001,Equipment,,,
,I-002,Issue,AFFECTS,P-002,Part,,,
,I-003,Issue,AFFECTS,EQ-002,Equipment,,,
,I-004,Issue,AFFECTS,EQ-003,Equipment,,,
,I-005,Issue,AFFECTS,P-005,Part,,,
,,,,,,,,
,I-001,Issue,RESOLVED_BY,R-001,Resolution,,,
,I-003,Issue,RESOLVED_BY,R-003,Resolution,,,
,I-005,Issue,RESOLVED_BY,R-005,Resolution,,,
,,,,,,,,
,M-001,Multimedia,DOCUMENTS,I-001,Issue,,,
,M-002,Multimedia,DOCUMENTS,I-001,Issue,,,
,M-004,Multimedia,DOCUMENTS,I-002,Issue,,,
,M-003,Multimedia,DOCUMENTS,I-005,Issue,,,
,M-005,Multimedia,DOCUMENTS,I-004,Issue,,,
,,,,,,,,
,W-002,Worker,REPORTS_ISSUE,I-001,Issue,,,
,W-001,Worker,REPORTS_ISSUE,I-005,Issue,,,
